Адрес группы,Сообщество,Номер телефона сообщества,Ссылка на сообщество,Наименование товара,Ссылка на товар,Цена товара,Изображение товара,Дата добавления товара
"Проспект Ленина 69/14, Екатеринбург",Индивидуальные консультации  в КИТАКай,Не указан в сообществе,https://vk.com/kitakai_spezialist,Антон Маркович Кайгородов,https://vk.com/market?w=product-103622091_3748718,3 000 ₽,https://sun9-12.userapi.com/oF4X52HITnGnFn2q33_dt_X_ncrmqC7jGwpC_w/0_xBNGB7-yM.jpg,27 января в 16:50
"Проспект Ленина 69/14, Екатеринбург",Индивидуальные консультации  в КИТАКай,Не указан в сообществе,https://vk.com/kitakai_spezialist,Антон Маркович Кайгородов,https://vk.com/market?w=product-103622091_3748718,3 000 ₽,https://sun9-12.userapi.com/oF4X52HITnGnFn2q33_dt_X_ncrmqC7jGwpC_w/0_xBNGB7-yM.jpg,27 января в 16:50
"ул. Бертюльская 7, Астрахань",Тигруля || семейный детский сад || Астрахань,Не указан в сообществе,https://vk.com/clubigrulia,Раннее развитие для детей от 1 года до 3 лет,https://vk.com/market?w=product-72513261_2970004,3 500 ₽,https://sun9-60.userapi.com/c858228/v858228704/100fd9/m1KslupGON4.jpg,27 ноября в 19:03
"ул. Бертюльская 7, Астрахань",Тигруля || семейный детский сад || Астрахань,Не указан в сообществе,https://vk.com/clubigrulia,Раннее развитие для детей от 1 года до 3 лет,https://vk.com/market?w=product-72513261_2970004,3 500 ₽,https://sun9-60.userapi.com/c858228/v858228704/100fd9/m1KslupGON4.jpg,27 ноября в 19:03
Не указан в сообществе,Подарки и товары ручной работы| Калейдоскоп,Не указан в сообществе,https://vk.com/kaleidoskop224,"Кот Наталыч с брендом Калейдоскопа. НЕТ В НАЛИЧИИ, ПРОДАНО. 28 400 МР ",https://vk.com/market?w=product-167322734_2626089,1 420 ₽,https://sun9-59.userapi.com/c857624/v857624185/101fad/KQj6de0ROvc.jpg,23 ноября в 19:39
Не указан в сообществе,Джембе/Африканский барабан/АЛХИМИЯ РИТМА,+7 (909) 672-80-57,https://vk.com/alritma,Авторский курс Станислава Казакова по игре на Африканском Барабане,https://vk.com/market?w=product-15819536_3212307,2 990 ₽,https://sun9-28.userapi.com/c845217/v845217346/20400f/3cS-4MKtDNQ.jpg,13 мая в 4:07
Не указан в сообществе,Подарки и товары ручной работы| Калейдоскоп,Не указан в сообществе,https://vk.com/kaleidoskop224,"Кот Наталыч с брендом Калейдоскопа. НЕТ В НАЛИЧИИ, ПРОДАНО. 28 400 МР ",https://vk.com/market?w=product-167322734_2626089,1 420 ₽,https://sun9-59.userapi.com/c857624/v857624185/101fad/KQj6de0ROvc.jpg,23 ноября в 19:39
"ул. Долгополова 28/44., Нижний Новгород",Музыкальная школа MUZCLASS,+7 (930) 283-50-30,https://vk.com/muzclassnn,Ударные,https://vk.com/market?w=product-181094726_2952359,3 300 ₽,https://sun9-60.userapi.com/c854328/v854328535/21607/DYl5KqI2iuE.jpg,13 апреля в 18:14
Не указан в сообществе,Джембе/Африканский барабан/АЛХИМИЯ РИТМА,+7 (909) 672-80-57,https://vk.com/alritma,Авторский курс Станислава Казакова по игре на Африканском Барабане,https://vk.com/market?w=product-15819536_3212307,2 990 ₽,https://sun9-28.userapi.com/c845217/v845217346/20400f/3cS-4MKtDNQ.jpg,13 мая в 4:07
"улица Фрунзе, 19, Новосибирск",Sky music - музыкальная школа для взрослых,+7 (923) 700-44-33,https://vk.com/skymusicnsk,Базовый курс игры на БАРАБАНАХ,https://vk.com/market?w=product-177713212_2966248,13 000 ₽,https://sun9-51.userapi.com/c850036/v850036761/1242f8/EpjMNQFn3kY.jpg,6 февраля в 23:02
"ул. Долгополова 28/44., Нижний Новгород",Музыкальная школа MUZCLASS,+7 (930) 283-50-30,https://vk.com/muzclassnn,Ударные,https://vk.com/market?w=product-181094726_2952359,3 300 ₽,https://sun9-60.userapi.com/c854328/v854328535/21607/DYl5KqI2iuE.jpg,13 апреля в 18:14
"улица Фрунзе, 19, Новосибирск",Sky music - музыкальная школа для взрослых,+7 (923) 700-44-33,https://vk.com/skymusicnsk,Базовый курс игры на БАРАБАНАХ,https://vk.com/market?w=product-177713212_2966248,13 000 ₽,https://sun9-51.userapi.com/c850036/v850036761/1242f8/EpjMNQFn3kY.jpg,6 февраля в 23:02
"улица Ботаническая 13, Тольятти",Уроки Игры На Барабанах По Скайпу +79608354338,+7 (960) 835-43-38,https://vk.com/ddrumslessons,"Видео Школа ""Барабаны Шаг За Шагом"" Вводная часть+Битовые ритмы и координация",https://vk.com/market?w=product-10602924_2696395,1 000 ₽,https://sun9-35.userapi.com/c847017/v847017582/121b11/VzzDeakpRUc.jpg,2 ноября в 21:46
Не указан в сообществе,"Онлайн-школа барабанов ""Простой Ритм""",Не указан в сообществе,https://vk.com/proritm,Курс по ритмам (начальный),https://vk.com/market?w=product-167389141_1537835,10 ₽,https://sun9-18.userapi.com/c846416/v846416545/6a990/vLgrMjwXKlQ.jpg,6 июня в 11:10
"улица Ботаническая 13, Тольятти",Уроки Игры На Барабанах По Скайпу +79608354338,+7 (960) 835-43-38,https://vk.com/ddrumslessons,"Видео Школа ""Барабаны Шаг За Шагом"" Вводная часть+Битовые ритмы и координация",https://vk.com/market?w=product-10602924_2696395,1 000 ₽,https://sun9-35.userapi.com/c847017/v847017582/121b11/VzzDeakpRUc.jpg,2 ноября в 21:46
Не указан в сообществе,"Онлайн-школа барабанов ""Простой Ритм""",Не указан в сообществе,https://vk.com/proritm,Курс по ритмам (начальный),https://vk.com/market?w=product-167389141_1537835,10 ₽,https://sun9-18.userapi.com/c846416/v846416545/6a990/vLgrMjwXKlQ.jpg,6 июня в 11:10
"Лыжный переулок, 8к1, Санкт-Петербург",Тигруля || детский центр || СПб Лыжный пер.,+7 (911) 942-26-85,https://vk.com/clubigruliaspb,Раннее развитие для детей от 1 года до 3 лет,https://vk.com/market?w=product-144370285_1321135,3 999 ₽,https://sun9-58.userapi.com/c855136/v855136070/17a3b7/O4W0UahcB_E.jpg,3 апреля в 9:39
Не указан в сообществе,Обучение иностранному языку за рубежом,Не указан в сообществе,https://vk.com/prestigestudy,"Летняя школа в городе Свонэдж, Англия (8-17 лет)",https://vk.com/market?w=product-54666761_1370854,€ 2 300,https://sun9-68.userapi.com/c830209/v830209805/c6e42/WtQFvd5_Elk.jpg,14 марта в 11:48
"Лыжный переулок, 8к1, Санкт-Петербург",Тигруля || детский центр || СПб Лыжный пер.,+7 (911) 942-26-85,https://vk.com/clubigruliaspb,Раннее развитие для детей от 1 года до 3 лет,https://vk.com/market?w=product-144370285_1321135,3 999 ₽,https://sun9-58.userapi.com/c855136/v855136070/17a3b7/O4W0UahcB_E.jpg,3 апреля в 9:39
"м. Курская, Нижний Сусальный переулок, д. 5, Москва",Улетные подарки - Подарочные сертификаты,+7 (495) 191-38-28,https://vk.com/uletnye_podarki,Обучение игре на барабанах(Базовый курс в группе. 2 месяца),https://vk.com/market?w=product-134804594_1023231,10 000 ₽,https://sun9-41.userapi.com/c837532/v837532863/64175/qwVsXNLTbqs.jpg,15 сентября в 14:01
Не указан в сообществе,Обучение иностранному языку за рубежом,Не указан в сообществе,https://vk.com/prestigestudy,"Летняя школа в городе Свонэдж, Англия (8-17 лет)",https://vk.com/market?w=product-54666761_1370854,€ 2 300,https://sun9-68.userapi.com/c830209/v830209805/c6e42/WtQFvd5_Elk.jpg,14 марта в 11:48
Не указан в сообществе,"Школа рока ""BACKSTAGE"" - Москва | School of Rock",Не указан в сообществе,https://vk.com/backstagerock1,Пробный урок,https://vk.com/market?w=product-4109173_957613,500 ₽,https://sun9-60.userapi.com/c837326/v837326140/4e967/g0_ZrqD0XgU.jpg,30 августа в 14:17
"м. Курская, Нижний Сусальный переулок, д. 5, Москва",Улетные подарки - Подарочные сертификаты,+7 (495) 191-38-28,https://vk.com/uletnye_podarki,Обучение игре на барабанах(Базовый курс в группе. 2 месяца),https://vk.com/market?w=product-134804594_1023231,10 000 ₽,https://sun9-41.userapi.com/c837532/v837532863/64175/qwVsXNLTbqs.jpg,15 сентября в 14:01
Не указан в сообществе,"Школа рока ""BACKSTAGE"" - Москва | School of Rock",Не указан в сообществе,https://vk.com/backstagerock1,Обучение экстриму,https://vk.com/market?w=product-4109173_957612,6 000 ₽,https://sun9-37.userapi.com/c837326/v837326140/4e955/0OOz5ISYV0A.jpg,30 августа в 14:15
Не указан в сообществе,"Школа рока ""BACKSTAGE"" - Москва | School of Rock",Не указан в сообществе,https://vk.com/backstagerock1,Пробный урок,https://vk.com/market?w=product-4109173_957613,500 ₽,https://sun9-60.userapi.com/c837326/v837326140/4e967/g0_ZrqD0XgU.jpg,30 августа в 14:17
Не указан в сообществе,"Школа рока ""BACKSTAGE"" - Москва | School of Rock",Не указан в сообществе,https://vk.com/backstagerock1,Обучение на барабанах,https://vk.com/market?w=product-4109173_957609,6 000 ₽,https://sun9-62.userapi.com/c837326/v837326140/4e91f/HQci9STRnDA.jpg,30 августа в 14:14
Не указан в сообществе,"Школа рока ""BACKSTAGE"" - Москва | School of Rock",Не указан в сообществе,https://vk.com/backstagerock1,Обучение экстриму,https://vk.com/market?w=product-4109173_957612,6 000 ₽,https://sun9-37.userapi.com/c837326/v837326140/4e955/0OOz5ISYV0A.jpg,30 августа в 14:15
Не указан в сообществе,"Школа рока ""BACKSTAGE"" - Москва | School of Rock",Не указан в сообществе,https://vk.com/backstagerock1,Обучение гитаре,https://vk.com/market?w=product-4109173_957608,6 000 ₽,https://sun9-6.userapi.com/c837326/v837326140/4e90d/KTBBT1p3OFg.jpg,30 августа в 14:13
Не указан в сообществе,"Школа рока ""BACKSTAGE"" - Москва | School of Rock",Не указан в сообществе,https://vk.com/backstagerock1,Обучение вокалу,https://vk.com/market?w=product-4109173_957607,6 000 ₽,https://sun9-20.userapi.com/c837326/v837326140/4e8fb/AuWH73ilO7o.jpg,30 августа в 14:13
Не указан в сообществе,"Школа рока ""BACKSTAGE"" - Москва | School of Rock",Не указан в сообществе,https://vk.com/backstagerock1,Обучение на барабанах,https://vk.com/market?w=product-4109173_957609,6 000 ₽,https://sun9-62.userapi.com/c837326/v837326140/4e91f/HQci9STRnDA.jpg,30 августа в 14:14
Не указан в сообществе,"Школа рока ""BACKSTAGE"" - Москва | School of Rock",Не указан в сообществе,https://vk.com/backstagerock1,Обучение гитаре,https://vk.com/market?w=product-4109173_957608,6 000 ₽,https://sun9-6.userapi.com/c837326/v837326140/4e90d/KTBBT1p3OFg.jpg,30 августа в 14:13
Не указан в сообществе,Серфинг,Не указан в сообществе,https://vk.com/surfportalru,Серфинг в ЮАР ,https://vk.com/market?w=product-147455205_818936,$ 1 600,https://sun9-3.userapi.com/c639820/v639820938/2a476/X-CyIMQunQA.jpg,22 июня в 17:06
Не указан в сообществе,"Школа рока ""BACKSTAGE"" - Москва | School of Rock",Не указан в сообществе,https://vk.com/backstagerock1,Обучение вокалу,https://vk.com/market?w=product-4109173_957607,6 000 ₽,https://sun9-20.userapi.com/c837326/v837326140/4e8fb/AuWH73ilO7o.jpg,30 августа в 14:13
Не указан в сообществе,Скидки на обучение от Школы Музыки,Не указан в сообществе,https://vk.com/skidkiag,Обучение игре на ударных,https://vk.com/market?w=product-147829943_884210,9 900 ₽,https://sun9-33.userapi.com/c637622/v637622989/4e643/kV52ccYh0RQ.jpg,30 мая в 12:26
Не указан в сообществе,Серфинг,Не указан в сообществе,https://vk.com/surfportalru,Серфинг в ЮАР ,https://vk.com/market?w=product-147455205_818936,$ 1 600,https://sun9-3.userapi.com/c639820/v639820938/2a476/X-CyIMQunQA.jpg,22 июня в 17:06
Не указан в сообществе,Наша Семья Nikanas,Не указан в сообществе,https://vk.com/nikanasshop,SMOBY Интерактивный Столик Cotoons ,https://vk.com/market?w=product-130545490_1085873,1 700 грн.,https://sun9-67.userapi.com/c836623/v836623198/57f45/4TRccI-P05k.jpg,11 мая в 14:14
Не указан в сообществе,Скидки на обучение от Школы Музыки,Не указан в сообществе,https://vk.com/skidkiag,Обучение игре на ударных,https://vk.com/market?w=product-147829943_884210,9 900 ₽,https://sun9-33.userapi.com/c637622/v637622989/4e643/kV52ccYh0RQ.jpg,30 мая в 12:26
Не указан в сообществе,Музыкальная студия. Eart.by,Не указан в сообществе,https://vk.com/eartmusic,КУРСЫ ИГРЫ НА БАРАБАНАХ,https://vk.com/market?w=product-118303667_640646,150 б. р.,https://sun9-65.userapi.com/c626520/v626520587/691ac/wvgM-tK4_As.jpg,3 марта в 19:56
Не указан в сообществе,Наша Семья Nikanas,Не указан в сообществе,https://vk.com/nikanasshop,SMOBY Интерактивный Столик Cotoons ,https://vk.com/market?w=product-130545490_1085873,1 700 грн.,https://sun9-67.userapi.com/c836623/v836623198/57f45/4TRccI-P05k.jpg,11 мая в 14:14
Не указан в сообществе,Как учить музыке радостно!,Не указан в сообществе,https://vk.com/orffpodhod,Курс для педагогов,https://vk.com/market?w=product-76246112_493855,3 500 ₽,https://sun9-12.userapi.com/pA8sf1jcw7DNvBWrEiimyo3TJ_WABJ59RSetcA/wOOs01u2qfs.jpg,21 января в 11:40
Не указан в сообществе,Музыкальная студия. Eart.by,Не указан в сообществе,https://vk.com/eartmusic,КУРСЫ ИГРЫ НА БАРАБАНАХ,https://vk.com/market?w=product-118303667_640646,150 б. р.,https://sun9-65.userapi.com/c626520/v626520587/691ac/wvgM-tK4_As.jpg,3 марта в 19:56
Не указан в сообществе,ТВОРЧЕСКАЯ СТУДИЯ ЛЕОНИДА АНДРЕЕВА,Не указан в сообществе,https://vk.com/leonidandreevschool,УДАРНЫЕ,https://vk.com/market?w=product-92827638_321464,1 200 ₽,https://sun9-59.userapi.com/c631628/v631628937/49f4b/aTBAxFjKILs.jpg,6 сентября в 12:30
Не указан в сообществе,Как учить музыке радостно!,Не указан в сообществе,https://vk.com/orffpodhod,Курс для педагогов,https://vk.com/market?w=product-76246112_493855,3 500 ₽,https://sun9-12.userapi.com/pA8sf1jcw7DNvBWrEiimyo3TJ_WABJ59RSetcA/wOOs01u2qfs.jpg,21 января в 11:40
Не указан в сообществе,Типичный Барабанщик,Не указан в сообществе,https://vk.com/typicaldrummer,Уроки игры на барабанах по Skype Продвинутый уровень,https://vk.com/market?w=product-33221864_276119,800 ₽,https://sun9-21.userapi.com/c636423/v636423095/3896d/jAoKy4m_S0o.jpg,25 июня в 0:04
Не указан в сообществе,ТВОРЧЕСКАЯ СТУДИЯ ЛЕОНИДА АНДРЕЕВА,Не указан в сообществе,https://vk.com/leonidandreevschool,УДАРНЫЕ,https://vk.com/market?w=product-92827638_321464,1 200 ₽,https://sun9-59.userapi.com/c631628/v631628937/49f4b/aTBAxFjKILs.jpg,6 сентября в 12:30
Не указан в сообществе,Типичный Барабанщик,Не указан в сообществе,https://vk.com/typicaldrummer,Уроки игры на барабанах по Skype Средний Уровень ,https://vk.com/market?w=product-33221864_276114,800 ₽,https://sun9-15.userapi.com/c636423/v636423095/3897f/Cuatd69UQz0.jpg,24 июня в 23:30
Не указан в сообществе,Типичный Барабанщик,Не указан в сообществе,https://vk.com/typicaldrummer,Уроки игры на барабанах по Skype Продвинутый уровень,https://vk.com/market?w=product-33221864_276119,800 ₽,https://sun9-21.userapi.com/c636423/v636423095/3896d/jAoKy4m_S0o.jpg,25 июня в 0:04
Не указан в сообществе,Типичный Барабанщик,Не указан в сообществе,https://vk.com/typicaldrummer,Уроки игры на барабанах по Skype Начальный Уровень ,https://vk.com/market?w=product-33221864_276085,800 ₽,https://sun9-15.userapi.com/c636423/v636423095/3894d/bHTQR85kUkA.jpg,24 июня в 22:37
Не указан в сообществе,Типичный Барабанщик,Не указан в сообществе,https://vk.com/typicaldrummer,Уроки игры на барабанах по Skype Средний Уровень ,https://vk.com/market?w=product-33221864_276114,800 ₽,https://sun9-15.userapi.com/c636423/v636423095/3897f/Cuatd69UQz0.jpg,24 июня в 23:30
Не указан в сообществе,"Онлайн школа вокала и гитары ""Петь Легко""",+7 (495) 241-02-59,https://vk.com/easyvoice,"Курс гитары ""VIP""",https://vk.com/market?w=product-62086614_497538,100 000 ₽,https://sun9-6.userapi.com/c621524/v621524973/1d310/Hf6hVXx9g4I.jpg,4 июня в 22:41
Не указан в сообществе,Типичный Барабанщик,Не указан в сообществе,https://vk.com/typicaldrummer,Уроки игры на барабанах по Skype Начальный Уровень ,https://vk.com/market?w=product-33221864_276085,800 ₽,https://sun9-15.userapi.com/c636423/v636423095/3894d/bHTQR85kUkA.jpg,24 июня в 22:37
Не указан в сообществе,"Онлайн школа вокала и гитары ""Петь Легко""",+7 (495) 241-02-59,https://vk.com/easyvoice,"Курс гитары ""VIP""",https://vk.com/market?w=product-62086614_497538,100 000 ₽,https://sun9-6.userapi.com/c621524/v621524973/1d310/Hf6hVXx9g4I.jpg,4 июня в 22:41
