Город,Улица,Сообщество,Номер телефона сообщества,Ссылка на сообщество,Информация о товарах
 Астрахань,ул. Бертюльская 7,Тигруля || семейный детский сад || Астрахань,Не указан в сообществе,https://vk.com/clubigrulia,Товар №1 Наименование товара: Раннее развитие для детей от 1 года до 3 лет Ссылка на товар: https://vk.com/market?w=product-72513261_2970004 Цена товара: 3 500 ₽ Изображение товара: https://sun9-60.userapi.com/c858228/v858228704/100fd9/m1KslupGON4.jpg Дата добавления товара: 27 ноября в 19:03 Товар №2 Наименование товара: Антон Маркович Кайгородов Ссылка на товар: https://vk.com/market?w=product-103622091_3748718 Цена товара: 3 000 ₽ Изображение товара: https://sun9-12.userapi.com/oF4X52HITnGnFn2q33_dt_X_ncrmqC7jGwpC_w/0_xBNGB7-yM.jpg Дата добавления товара: 27 января в 16:50
 Екатеринбург,Проспект Ленина 69/14,Индивидуальные консультации  в КИТАКай,Не указан в сообществе,https://vk.com/kitakai_spezialist,Товар №1 Наименование товара: Антон Маркович Кайгородов Ссылка на товар: https://vk.com/market?w=product-103622091_3748718 Цена товара: 3 000 ₽ Изображение товара: https://sun9-12.userapi.com/oF4X52HITnGnFn2q33_dt_X_ncrmqC7jGwpC_w/0_xBNGB7-yM.jpg Дата добавления товара: 27 января в 16:50 Товар №2 Наименование товара: Обучение игре на барабанах(Базовый курс в группе. 2 месяца) Ссылка на товар: https://vk.com/market?w=product-134804594_1023231 Цена товара: 10 000 ₽ Изображение товара: https://sun9-41.userapi.com/c837532/v837532863/64175/qwVsXNLTbqs.jpg Дата добавления товара: 15 сентября в 14:01
 Москва,м. Курская Нижний Сусальный переулок д. 5,Улетные подарки - Подарочные сертификаты,+7 (495) 191-38-28,https://vk.com/uletnye_podarki,Товар №1 Наименование товара: Обучение игре на барабанах(Базовый курс в группе. 2 месяца) Ссылка на товар: https://vk.com/market?w=product-134804594_1023231 Цена товара: 10 000 ₽ Изображение товара: https://sun9-41.userapi.com/c837532/v837532863/64175/qwVsXNLTbqs.jpg Дата добавления товара: 15 сентября в 14:01 Товар №2 Наименование товара: Ударные Ссылка на товар: https://vk.com/market?w=product-181094726_2952359 Цена товара: 3 300 ₽ Изображение товара: https://sun9-60.userapi.com/c854328/v854328535/21607/DYl5KqI2iuE.jpg Дата добавления товара: 13 апреля в 18:14
 Нижний Новгород,ул. Долгополова 28/44.,Музыкальная школа MUZCLASS,+7 (930) 283-50-30,https://vk.com/muzclassnn,Товар №1 Наименование товара: Ударные Ссылка на товар: https://vk.com/market?w=product-181094726_2952359 Цена товара: 3 300 ₽ Изображение товара: https://sun9-60.userapi.com/c854328/v854328535/21607/DYl5KqI2iuE.jpg Дата добавления товара: 13 апреля в 18:14 Товар №2 Наименование товара: Базовый курс игры на БАРАБАНАХ Ссылка на товар: https://vk.com/market?w=product-177713212_2966248 Цена товара: 13 000 ₽ Изображение товара: https://sun9-51.userapi.com/c850036/v850036761/1242f8/EpjMNQFn3kY.jpg Дата добавления товара: 6 февраля в 23:02
 Новосибирск,улица Фрунзе 19,Sky music - музыкальная школа для взрослых,+7 (923) 700-44-33,https://vk.com/skymusicnsk,Товар №1 Наименование товара: Базовый курс игры на БАРАБАНАХ Ссылка на товар: https://vk.com/market?w=product-177713212_2966248 Цена товара: 13 000 ₽ Изображение товара: https://sun9-51.userapi.com/c850036/v850036761/1242f8/EpjMNQFn3kY.jpg Дата добавления товара: 6 февраля в 23:02 Товар №2 Наименование товара: Раннее развитие для детей от 1 года до 3 лет Ссылка на товар: https://vk.com/market?w=product-144370285_1321135 Цена товара: 3 999 ₽ Изображение товара: https://sun9-58.userapi.com/c855136/v855136070/17a3b7/O4W0UahcB_E.jpg Дата добавления товара: 3 апреля в 9:39
 Санкт-Петербург,Лыжный переулок 8к1,Тигруля || детский центр || СПб Лыжный пер.,+7 (911) 942-26-85,https://vk.com/clubigruliaspb,"Товар №1 Наименование товара: Раннее развитие для детей от 1 года до 3 лет Ссылка на товар: https://vk.com/market?w=product-144370285_1321135 Цена товара: 3 999 ₽ Изображение товара: https://sun9-58.userapi.com/c855136/v855136070/17a3b7/O4W0UahcB_E.jpg Дата добавления товара: 3 апреля в 9:39 Товар №2 Наименование товара: Видео Школа ""Барабаны Шаг За Шагом"" Вводная часть+Битовые ритмы и координация Ссылка на товар: https://vk.com/market?w=product-10602924_2696395 Цена товара: 1 000 ₽ Изображение товара: https://sun9-35.userapi.com/c847017/v847017582/121b11/VzzDeakpRUc.jpg Дата добавления товара: 2 ноября в 21:46"
 Тольятти,улица Ботаническая 13,Уроки Игры На Барабанах По Скайпу +79608354338,+7 (960) 835-43-38,https://vk.com/ddrumslessons,"Товар №1 Наименование товара: Видео Школа ""Барабаны Шаг За Шагом"" Вводная часть+Битовые ритмы и координация Ссылка на товар: https://vk.com/market?w=product-10602924_2696395 Цена товара: 1 000 ₽ Изображение товара: https://sun9-35.userapi.com/c847017/v847017582/121b11/VzzDeakpRUc.jpg Дата добавления товара: 2 ноября в 21:46 Товар №2 Наименование товара: Авторский курс Станислава Казакова по игре на Африканском Барабане Ссылка на товар: https://vk.com/market?w=product-15819536_3212307 Цена товара: 2 990 ₽ Изображение товара: https://sun9-28.userapi.com/c845217/v845217346/20400f/3cS-4MKtDNQ.jpg Дата добавления товара: 13 мая в 4:07"
Не указан в сообществе,,Джембе/Африканский барабан/АЛХИМИЯ РИТМА,+7 (909) 672-80-57,https://vk.com/alritma,Товар №1 Наименование товара: Авторский курс Станислава Казакова по игре на Африканском Барабане Ссылка на товар: https://vk.com/market?w=product-15819536_3212307 Цена товара: 2 990 ₽ Изображение товара: https://sun9-28.userapi.com/c845217/v845217346/20400f/3cS-4MKtDNQ.jpg Дата добавления товара: 13 мая в 4:07 Товар №2 Наименование товара: Курс для педагогов Ссылка на товар: https://vk.com/market?w=product-76246112_493855 Цена товара: 3 500 ₽ Изображение товара: https://sun9-12.userapi.com/pA8sf1jcw7DNvBWrEiimyo3TJ_WABJ59RSetcA/wOOs01u2qfs.jpg Дата добавления товара: 21 января в 11:40
Не указан в сообществе,,Как учить музыке радостно!,Не указан в сообществе,https://vk.com/orffpodhod,Товар №1 Наименование товара: Курс для педагогов Ссылка на товар: https://vk.com/market?w=product-76246112_493855 Цена товара: 3 500 ₽ Изображение товара: https://sun9-12.userapi.com/pA8sf1jcw7DNvBWrEiimyo3TJ_WABJ59RSetcA/wOOs01u2qfs.jpg Дата добавления товара: 21 января в 11:40 Товар №2 Наименование товара: КУРСЫ ИГРЫ НА БАРАБАНАХ Ссылка на товар: https://vk.com/market?w=product-118303667_640646 Цена товара: 150 б. р. Изображение товара: https://sun9-65.userapi.com/c626520/v626520587/691ac/wvgM-tK4_As.jpg Дата добавления товара: 3 марта в 19:56
Не указан в сообществе,,Музыкальная студия. Eart.by,Не указан в сообществе,https://vk.com/eartmusic,Товар №1 Наименование товара: КУРСЫ ИГРЫ НА БАРАБАНАХ Ссылка на товар: https://vk.com/market?w=product-118303667_640646 Цена товара: 150 б. р. Изображение товара: https://sun9-65.userapi.com/c626520/v626520587/691ac/wvgM-tK4_As.jpg Дата добавления товара: 3 марта в 19:56 Товар №2 Наименование товара: SMOBY Интерактивный Столик Cotoons  Ссылка на товар: https://vk.com/market?w=product-130545490_1085873 Цена товара: 1 700 грн. Изображение товара: https://sun9-67.userapi.com/c836623/v836623198/57f45/4TRccI-P05k.jpg Дата добавления товара: 11 мая в 14:14
Не указан в сообществе,,Наша Семья Nikanas,Не указан в сообществе,https://vk.com/nikanasshop,"Товар №1 Наименование товара: SMOBY Интерактивный Столик Cotoons  Ссылка на товар: https://vk.com/market?w=product-130545490_1085873 Цена товара: 1 700 грн. Изображение товара: https://sun9-67.userapi.com/c836623/v836623198/57f45/4TRccI-P05k.jpg Дата добавления товара: 11 мая в 14:14 Товар №2 Наименование товара: Летняя школа в городе Свонэдж, Англия (8-17 лет) Ссылка на товар: https://vk.com/market?w=product-54666761_1370854 Цена товара: € 2 300 Изображение товара: https://sun9-68.userapi.com/c830209/v830209805/c6e42/WtQFvd5_Elk.jpg Дата добавления товара: 14 марта в 11:48"
Не указан в сообществе,,Обучение иностранному языку за рубежом,Не указан в сообществе,https://vk.com/prestigestudy,"Товар №1 Наименование товара: Летняя школа в городе Свонэдж, Англия (8-17 лет) Ссылка на товар: https://vk.com/market?w=product-54666761_1370854 Цена товара: € 2 300 Изображение товара: https://sun9-68.userapi.com/c830209/v830209805/c6e42/WtQFvd5_Elk.jpg Дата добавления товара: 14 марта в 11:48 Товар №2 Наименование товара: Курс гитары ""VIP"" Ссылка на товар: https://vk.com/market?w=product-62086614_497538 Цена товара: 100 000 ₽ Изображение товара: https://sun9-6.userapi.com/c621524/v621524973/1d310/Hf6hVXx9g4I.jpg Дата добавления товара: 4 июня в 22:41"
Не указан в сообществе,,"Онлайн школа вокала и гитары ""Петь Легко""",+7 (495) 241-02-59,https://vk.com/easyvoice,"Товар №1 Наименование товара: Курс гитары ""VIP"" Ссылка на товар: https://vk.com/market?w=product-62086614_497538 Цена товара: 100 000 ₽ Изображение товара: https://sun9-6.userapi.com/c621524/v621524973/1d310/Hf6hVXx9g4I.jpg Дата добавления товара: 4 июня в 22:41 Товар №2 Наименование товара: Курс по ритмам (начальный) Ссылка на товар: https://vk.com/market?w=product-167389141_1537835 Цена товара: 10 ₽ Изображение товара: https://sun9-18.userapi.com/c846416/v846416545/6a990/vLgrMjwXKlQ.jpg Дата добавления товара: 6 июня в 11:10"
Не указан в сообществе,,"Онлайн-школа барабанов ""Простой Ритм""",Не указан в сообществе,https://vk.com/proritm,"Товар №1 Наименование товара: Курс по ритмам (начальный) Ссылка на товар: https://vk.com/market?w=product-167389141_1537835 Цена товара: 10 ₽ Изображение товара: https://sun9-18.userapi.com/c846416/v846416545/6a990/vLgrMjwXKlQ.jpg Дата добавления товара: 6 июня в 11:10 Товар №2 Наименование товара: Кот Наталыч с брендом Калейдоскопа. НЕТ В НАЛИЧИИ, ПРОДАНО. 28 400 МР  Ссылка на товар: https://vk.com/market?w=product-167322734_2626089 Цена товара: 1 420 ₽ Изображение товара: https://sun9-59.userapi.com/c857624/v857624185/101fad/KQj6de0ROvc.jpg Дата добавления товара: 23 ноября в 19:39"
Не указан в сообществе,,Подарки и товары ручной работы| Калейдоскоп,Не указан в сообществе,https://vk.com/kaleidoskop224,"Товар №1 Наименование товара: Кот Наталыч с брендом Калейдоскопа. НЕТ В НАЛИЧИИ, ПРОДАНО. 28 400 МР  Ссылка на товар: https://vk.com/market?w=product-167322734_2626089 Цена товара: 1 420 ₽ Изображение товара: https://sun9-59.userapi.com/c857624/v857624185/101fad/KQj6de0ROvc.jpg Дата добавления товара: 23 ноября в 19:39 Товар №2 Наименование товара: Серфинг в ЮАР  Ссылка на товар: https://vk.com/market?w=product-147455205_818936 Цена товара: $ 1 600 Изображение товара: https://sun9-3.userapi.com/c639820/v639820938/2a476/X-CyIMQunQA.jpg Дата добавления товара: 22 июня в 17:06"
Не указан в сообществе,,Серфинг,Не указан в сообществе,https://vk.com/surfportalru,Товар №1 Наименование товара: Серфинг в ЮАР  Ссылка на товар: https://vk.com/market?w=product-147455205_818936 Цена товара: $ 1 600 Изображение товара: https://sun9-3.userapi.com/c639820/v639820938/2a476/X-CyIMQunQA.jpg Дата добавления товара: 22 июня в 17:06 Товар №2 Наименование товара: Обучение игре на ударных Ссылка на товар: https://vk.com/market?w=product-147829943_884210 Цена товара: 9 900 ₽ Изображение товара: https://sun9-33.userapi.com/c637622/v637622989/4e643/kV52ccYh0RQ.jpg Дата добавления товара: 30 мая в 12:26
Не указан в сообществе,,Скидки на обучение от Школы Музыки,Не указан в сообществе,https://vk.com/skidkiag,Товар №1 Наименование товара: Обучение игре на ударных Ссылка на товар: https://vk.com/market?w=product-147829943_884210 Цена товара: 9 900 ₽ Изображение товара: https://sun9-33.userapi.com/c637622/v637622989/4e643/kV52ccYh0RQ.jpg Дата добавления товара: 30 мая в 12:26 Товар №2 Наименование товара: УДАРНЫЕ Ссылка на товар: https://vk.com/market?w=product-92827638_321464 Цена товара: 1 200 ₽ Изображение товара: https://sun9-59.userapi.com/c631628/v631628937/49f4b/aTBAxFjKILs.jpg Дата добавления товара: 6 сентября в 12:30
Не указан в сообществе,,ТВОРЧЕСКАЯ СТУДИЯ ЛЕОНИДА АНДРЕЕВА,Не указан в сообществе,https://vk.com/leonidandreevschool,Товар №1 Наименование товара: УДАРНЫЕ Ссылка на товар: https://vk.com/market?w=product-92827638_321464 Цена товара: 1 200 ₽ Изображение товара: https://sun9-59.userapi.com/c631628/v631628937/49f4b/aTBAxFjKILs.jpg Дата добавления товара: 6 сентября в 12:30 Товар №2 Наименование товара: Уроки игры на барабанах по Skype Продвинутый уровень Ссылка на товар: https://vk.com/market?w=product-33221864_276119 Цена товара: 800 ₽ Изображение товара: https://sun9-21.userapi.com/c636423/v636423095/3896d/jAoKy4m_S0o.jpg Дата добавления товара: 25 июня в 0:04
Не указан в сообществе,,Типичный Барабанщик,Не указан в сообществе,https://vk.com/typicaldrummer,Товар №1 Наименование товара: Уроки игры на барабанах по Skype Продвинутый уровень Ссылка на товар: https://vk.com/market?w=product-33221864_276119 Цена товара: 800 ₽ Изображение товара: https://sun9-21.userapi.com/c636423/v636423095/3896d/jAoKy4m_S0o.jpg Дата добавления товара: 25 июня в 0:04 Товар №2 Наименование товара: Уроки игры на барабанах по Skype Продвинутый уровень Ссылка на товар: https://vk.com/market?w=product-33221864_276119 Цена товара: 800 ₽ Изображение товара: https://sun9-21.userapi.com/c636423/v636423095/3896d/jAoKy4m_S0o.jpg Дата добавления товара: 25 июня в 0:04 Товар №3 Наименование товара: Уроки игры на барабанах по Skype Начальный Уровень  Ссылка на товар: https://vk.com/market?w=product-33221864_276085 Цена товара: 800 ₽ Изображение товара: https://sun9-15.userapi.com/c636423/v636423095/3894d/bHTQR85kUkA.jpg Дата добавления товара: 24 июня в 22:37 Товар №4 Наименование товара: Уроки игры на барабанах по Skype Средний Уровень  Ссылка на товар: https://vk.com/market?w=product-33221864_276114 Цена товара: 800 ₽ Изображение товара: https://sun9-15.userapi.com/c636423/v636423095/3897f/Cuatd69UQz0.jpg Дата добавления товара: 24 июня в 23:30 Товар №5 Наименование товара: Уроки игры на барабанах по Skype Начальный Уровень  Ссылка на товар: https://vk.com/market?w=product-33221864_276085 Цена товара: 800 ₽ Изображение товара: https://sun9-15.userapi.com/c636423/v636423095/3894d/bHTQR85kUkA.jpg Дата добавления товара: 24 июня в 22:37 Товар №6 Наименование товара: Пробный урок Ссылка на товар: https://vk.com/market?w=product-4109173_957613 Цена товара: 500 ₽ Изображение товара: https://sun9-60.userapi.com/c837326/v837326140/4e967/g0_ZrqD0XgU.jpg Дата добавления товара: 30 августа в 14:17
Не указан в сообществе,,"Школа рока ""BACKSTAGE"" - Москва | School of Rock",Не указан в сообществе,https://vk.com/backstagerock1,Товар №1 Наименование товара: Пробный урок Ссылка на товар: https://vk.com/market?w=product-4109173_957613 Цена товара: 500 ₽ Изображение товара: https://sun9-60.userapi.com/c837326/v837326140/4e967/g0_ZrqD0XgU.jpg Дата добавления товара: 30 августа в 14:17 Товар №2 Наименование товара: Пробный урок Ссылка на товар: https://vk.com/market?w=product-4109173_957613 Цена товара: 500 ₽ Изображение товара: https://sun9-60.userapi.com/c837326/v837326140/4e967/g0_ZrqD0XgU.jpg Дата добавления товара: 30 августа в 14:17 Товар №3 Наименование товара: Обучение на барабанах Ссылка на товар: https://vk.com/market?w=product-4109173_957609 Цена товара: 6 000 ₽ Изображение товара: https://sun9-62.userapi.com/c837326/v837326140/4e91f/HQci9STRnDA.jpg Дата добавления товара: 30 августа в 14:14 Товар №4 Наименование товара: Обучение экстриму Ссылка на товар: https://vk.com/market?w=product-4109173_957612 Цена товара: 6 000 ₽ Изображение товара: https://sun9-37.userapi.com/c837326/v837326140/4e955/0OOz5ISYV0A.jpg Дата добавления товара: 30 августа в 14:15 Товар №5 Наименование товара: Обучение гитаре Ссылка на товар: https://vk.com/market?w=product-4109173_957608 Цена товара: 6 000 ₽ Изображение товара: https://sun9-6.userapi.com/c837326/v837326140/4e90d/KTBBT1p3OFg.jpg Дата добавления товара: 30 августа в 14:13 Товар №6 Наименование товара: Обучение вокалу Ссылка на товар: https://vk.com/market?w=product-4109173_957607 Цена товара: 6 000 ₽ Изображение товара: https://sun9-20.userapi.com/c837326/v837326140/4e8fb/AuWH73ilO7o.jpg Дата добавления товара: 30 августа в 14:13 Товар №7 Наименование товара: Обучение на барабанах Ссылка на товар: https://vk.com/market?w=product-4109173_957609 Цена товара: 6 000 ₽ Изображение товара: https://sun9-62.userapi.com/c837326/v837326140/4e91f/HQci9STRnDA.jpg Дата добавления товара: 30 августа в 14:14 Товар №8 Наименование товара: Обучение гитаре Ссылка на товар: https://vk.com/market?w=product-4109173_957608 Цена товара: 6 000 ₽ Изображение товара: https://sun9-6.userapi.com/c837326/v837326140/4e90d/KTBBT1p3OFg.jpg Дата добавления товара: 30 августа в 14:13 Товар №9 Наименование товара: Обучение вокалу Ссылка на товар: https://vk.com/market?w=product-4109173_957607 Цена товара: 6 000 ₽ Изображение товара: https://sun9-20.userapi.com/c837326/v837326140/4e8fb/AuWH73ilO7o.jpg Дата добавления товара: 30 августа в 14:13
Не указан в сообществе,,"Школа рока ""BACKSTAGE"" - Москва | School of Rock",Не указан в сообществе,https://vk.com/backstagerock1,Товар №1 Наименование товара: Обучение вокалу Ссылка на товар: https://vk.com/market?w=product-4109173_957607 Цена товара: 6 000 ₽ Изображение товара: https://sun9-20.userapi.com/c837326/v837326140/4e8fb/AuWH73ilO7o.jpg Дата добавления товара: 30 августа в 14:13
